SERVICE NUMBER,REQUEST DATE,LOCATION,WARD,DISTRICT COUNCIL,STATUS,REQUEST TYPE,REQUEST DESCRIPTION,SEE_CLICK_FIX WEBSITE SUBMISSION,MAP LOCATION
4167955,"FRIDAY, JUNE 05, 2015",SW corner Rice / Maryland,,,Resolved,Complaint,Dumping,No,"SW corner Rice / Maryland
St Paul, MN
"
4167957,"FRIDAY, JUNE 05, 2015",714 DAYTON AVE ,1,8,Under Review,Complaint,Permit,No,"714 DAYTON AVE
St Paul, MN
(44.947414, -93.130277)"
4167961,"FRIDAY, JUNE 05, 2015",2097 NILES AVE ,3,15,Resolved,Complaint,Exterior,No,"2097 NILES AVE
St Paul, MN
(44.925239, -93.189011)"
4167964,"FRIDAY, JUNE 05, 2015",2215 4TH ST E,7,1,Resolved,Complaint,Traffic Sign/Light New,No,"2215 4TH ST E
St Paul, MN
(44.958529, -93.007017)"
4167969,"FRIDAY, JUNE 05, 2015",2081 5TH ST E,7,1,Resolved,Complaint,Tree,No,"2081 5TH ST E
St Paul, MN
(44.959473, -93.012589)"
4167971,"FRIDAY, JUNE 05, 2015",Pinehurst Ave W & Pinehurst Ave W,,,Resolved,Complaint,Traffic Sign Repair,No,"Pinehurst Ave W &amp; Pinehurst Ave W
St Paul, MN
"
4167974,"FRIDAY, JUNE 05, 2015",2039 SHERIDAN AVE ,3,15,Resolved,Complaint,Dumping,No,"2039 SHERIDAN AVE
St Paul, MN
(44.901641, -93.186461)"
4167975,"FRIDAY, JUNE 05, 2015",1658 GROTTO ST N,5,10,In Compliance,Complaint,Overhanging Vegetation (Sidewalk/Alley),No,"1658 GROTTO ST N
St Paul, MN
(44.991174, -93.131189)"
4167976,"FRIDAY, JUNE 05, 2015",736 LARPENTEUR AVE W,5,10,In Compliance,Complaint,Overhanging Vegetation (Sidewalk/Alley),No,"736 LARPENTEUR AVE W
St Paul, MN
(44.991792, -93.130974)"
4167984,"FRIDAY, JUNE 05, 2015",Grace & Colborne,,,Resolved,Complaint,Water,No,"Grace &amp; Colborne
St Paul, MN
"
4167987,"FRIDAY, JUNE 05, 2015",533 ST CLAIR AVE ,2,9,Resolved,FYI - No Response Required,Graffiti,No,"533 ST CLAIR AVE
St Paul, MN
(44.934111, -93.122249)"
4167996,"FRIDAY, JUNE 05, 2015",1749 SHERIDAN AVE ,3,15,Resolved,Complaint,Tall Grass,No,"1749 SHERIDAN AVE
St Paul, MN
(44.901678, -93.174256)"
4167999,"FRIDAY, JUNE 05, 2015",1332 NILES AVE ,3,15,Resolved,Complaint,Street Maintenance,No,"1332 NILES AVE
St Paul, MN
(44.925131, -93.15644)"
4168002,"FRIDAY, JUNE 05, 2015",Pleasant & St Clair Ave,,,Resolved,FYI - No Response Required,Graffiti,No,"Pleasant &amp; St Clair Ave
St Paul, MN
"
4168007,"FRIDAY, JUNE 05, 2015",Concordia & Lexington southeast corner,,,Resolved,Complaint,Graffiti,No,"Concordia &amp; Lexington southeast corner
St Paul, MN
"
4168012,"FRIDAY, JUNE 05, 2015",2350 BAYLESS PLACE ,4,12,In Compliance,Complaint,Exterior,No,"2350 BAYLESS PLACE
St Paul, MN
(44.968663, -93.199463)"
4168014,"FRIDAY, JUNE 05, 2015",1567 UNIVERSITY AVE W,4,11,Transferred - Closed,Complaint,Graffiti,No,"1567 UNIVERSITY AVE W
St Paul, MN
(44.955746, -93.166338)"
4168020,"FRIDAY, JUNE 05, 2015",Grace and Colborne,,,Resolved,Complaint,Graffiti,No,"Grace and Colborne
St Paul, MN
"
4168022,"FRIDAY, JUNE 05, 2015",616 RICE ST ,1,7,Transferred - Closed,Complaint,Graffiti,No,"616 RICE ST
St Paul, MN
(44.959769, -93.105952)"
4168025,"FRIDAY, JUNE 05, 2015",1740 BEECHWOOD AVE ,3,15,Resolved,Complaint,Tall Grass,No,"1740 BEECHWOOD AVE
St Paul, MN
(44.915226, -93.173778)"
4168027,"FRIDAY, JUNE 05, 2015",1411 BURR ST ,5,5,Resolved,Complaint,Exterior,No,"1411 BURR ST
St Paul, MN
(44.983578, -93.079869)"
4168031,"FRIDAY, JUNE 05, 2015",1431 BURR ST ,5,5,Resolved,Complaint,Exterior,No,"1431 BURR ST
St Paul, MN
(44.984097, -93.079869)"
4168032,"FRIDAY, JUNE 05, 2015",539 MICHIGAN ST ,2,9,In Compliance,Complaint,Tall Grass,No,"539 MICHIGAN ST
St Paul, MN
(44.935034, -93.122656)"
4168045,"FRIDAY, JUNE 05, 2015",1276 JULIET AVE ,3,14,Under Review,Complaint,Overhanging Vegetation (Sidewalk/Alley),No,"1276 JULIET AVE
St Paul, MN
(44.929672, -93.154052)"
4168056,"FRIDAY, JUNE 05, 2015",485 HOPKINS ST ,5,5,Resolved,Complaint,Exterior,No,"485 HOPKINS ST
St Paul, MN
(44.958353, -93.079895)"
4168069,"FRIDAY, JUNE 05, 2015",360 LEXINGTON PKWY S,3,14,Under Review,Complaint,Overhanging Vegetation (Sidewalk/Alley),No,"360 LEXINGTON PKWY S
St Paul, MN
(44.931117, -93.146542)"
4168072,"FRIDAY, JUNE 05, 2015",R&M Sanitation,,,Under Review,Complaint,License,No,"R&amp;M Sanitation
St Paul, MN
"
4168076,"FRIDAY, JUNE 05, 2015",1023 MINNEHAHA AVE W,1,7,Open,Complaint,Sidewalk,No,"1023 MINNEHAHA AVE W
St Paul, MN
(44.962991, -93.143276)"
4168078,"FRIDAY, JUNE 05, 2015",1334 GOODRICH AVE ,3,14,Resolved,Complaint,Tall Grass,No,"1334 GOODRICH AVE
St Paul, MN
(44.937883, -93.156485)"
4168080,"FRIDAY, JUNE 05, 2015",499 LAWSON AVE W,5,6,Resolved,Complaint,Tall Grass,No,"499 LAWSON AVE W
St Paul, MN
(44.971999, -93.121034)"
4168081,"FRIDAY, JUNE 05, 2015",336 LAFOND AVE ,1,7,Resolved,Complaint,Tall Grass,No,"336 LAFOND AVE
St Paul, MN
(44.960427, -93.114174)"
4168082,"FRIDAY, JUNE 05, 2015",490 LAWSON AVE W,5,6,Resolved,Complaint,Tall Grass,No,"490 LAWSON AVE W
St Paul, MN
(44.971998, -93.120799)"
4168083,"FRIDAY, JUNE 05, 2015",382 LAFOND AVE ,1,7,In Compliance,Complaint,Tall Grass,No,"382 LAFOND AVE
St Paul, MN
(44.960263, -93.116426)"
4168084,"FRIDAY, JUNE 05, 2015",72 SYCAMORE ST E,5,6,Resolved,Complaint,Tall Grass,No,"72 SYCAMORE ST E
St Paul, MN
(44.964748, -93.097335)"
4168086,"FRIDAY, JUNE 05, 2015",277 SHERBURNE AVE ,1,7,In Compliance,Complaint,Tall Grass,No,"277 SHERBURNE AVE
St Paul, MN
(44.956683, -93.111838)"
4168087,"FRIDAY, JUNE 05, 2015",480 LAWSON AVE W,5,6,Resolved,Complaint,Tall Grass,No,"480 LAWSON AVE W
St Paul, MN
(44.971998, -93.120396)"
4168090,"FRIDAY, JUNE 05, 2015",1753 SHERIDAN AVE ,3,15,In Compliance,Complaint,Tall Grass,No,"1753 SHERIDAN AVE
St Paul, MN
(44.901676, -93.174437)"
4168091,"FRIDAY, JUNE 05, 2015",482 LAWSON AVE W,5,6,Resolved,Complaint,Tall Grass,No,"482 LAWSON AVE W
St Paul, MN
(44.971998, -93.120492)"
4168092,"FRIDAY, JUNE 05, 2015",596 HAWTHORNE AVE E,6,5,In Compliance,Complaint,Permit,No,"596 HAWTHORNE AVE E
St Paul, MN
(44.978342, -93.075293)"
4168093,"FRIDAY, JUNE 05, 2015",427 LAFOND AVE ,1,7,In Compliance,Complaint,Tall Grass,No,"427 LAFOND AVE
St Paul, MN
(44.960263, -93.118038)"
4168094,"FRIDAY, JUNE 05, 2015",518 VAN BUREN AVE ,1,7,Resolved,Complaint,Tall Grass,No,"518 VAN BUREN AVE
St Paul, MN
(44.962059, -93.122087)"
4168095,"FRIDAY, JUNE 05, 2015",507 VAN BUREN AVE ,1,7,In Compliance,Complaint,Exterior,No,"507 VAN BUREN AVE
St Paul, MN
(44.962063, -93.121541)"
4168096,"FRIDAY, JUNE 05, 2015",528 MINNEHAHA AVE W,1,7,In Compliance,Complaint,Exterior,No,"528 MINNEHAHA AVE W
St Paul, MN
(44.962963, -93.122371)"
4168098,"FRIDAY, JUNE 05, 2015",713 MACKUBIN ST ,1,7,In Compliance,Complaint,Garbage Rubbish,No,"713 MACKUBIN ST
St Paul, MN
(44.962718, -93.12127)"
4168099,"FRIDAY, JUNE 05, 2015",231 CHARLES AVE ,1,7,In Compliance,Complaint,Tall Grass,No,"231 CHARLES AVE
St Paul, MN
(44.957589, -93.109837)"
4168100,"FRIDAY, JUNE 05, 2015",457 LAWSON AVE W,5,6,Resolved,Complaint,Tall Grass,No,"457 LAWSON AVE W
St Paul, MN
(44.971994, -93.119518)"
4168101,"FRIDAY, JUNE 05, 2015",303 SHERBURNE AVE ,1,7,In Compliance,Complaint,Exterior,No,"303 SHERBURNE AVE
St Paul, MN
(44.956681, -93.112734)"
4168102,"FRIDAY, JUNE 05, 2015",233 CHARLES AVE ,1,7,In Compliance,Complaint,Tall Grass,No,"233 CHARLES AVE
St Paul, MN
(44.957589, -93.109941)"
4168103,"FRIDAY, JUNE 05, 2015",670 WESTERN AVE N,1,7,Resolved,Complaint,Garbage Rubbish,No,"670 WESTERN AVE N
St Paul, MN
(44.961718, -93.116134)"
4168105,"FRIDAY, JUNE 05, 2015",269 OXFORD ST N,1,8,In Compliance,Complaint,Tall Grass,No,"269 OXFORD ST N
St Paul, MN
(44.949276, -93.144072)"
4168106,"FRIDAY, JUNE 05, 2015",1043 DAYTON AVE ,1,8,Resolved,Complaint,Tall Grass,No,"1043 DAYTON AVE
St Paul, MN
(44.947453, -93.144297)"
4168107,"FRIDAY, JUNE 05, 2015",690 WESTERN AVE N,1,7,In Compliance,Complaint,Exterior,No,"690 WESTERN AVE N
St Paul, MN
(44.962158, -93.116131)"
4168110,"FRIDAY, JUNE 05, 2015",695 VIRGINIA ST ,1,7,In Compliance,Complaint,Exterior,No,"695 VIRGINIA ST
St Paul, MN
(44.962414, -93.114729)"
4168125,"FRIDAY, JUNE 05, 2015",360 SPRING ST ,2,9,Resolved,Complaint,Park/Playground,No,"360 SPRING ST
St Paul, MN
(44.937249, -93.104205)"
4168127,"FRIDAY, JUNE 05, 2015",841 IGLEHART AVE ,1,8,In Compliance,Complaint,Tall Grass,No,"841 IGLEHART AVE
St Paul, MN
(44.949448, -93.13555)"
4168129,"FRIDAY, JUNE 05, 2015",711 EDMUND AVE ,1,7,Resolved,Complaint,Tall Grass,No,"711 EDMUND AVE
St Paul, MN
(44.958423, -93.130179)"
4168131,"FRIDAY, JUNE 05, 2015",929 WESTERN AVE N,1,6,Resolved,Complaint,Tall Grass,No,"929 WESTERN AVE N
St Paul, MN
(44.969153, -93.116105)"
4168132,"FRIDAY, JUNE 05, 2015",1096 ARUNDEL ST ,5,6,Resolved,Complaint,Tall Grass,No,"1096 ARUNDEL ST
St Paul, MN
(44.974344, -93.118791)"
4168134,"FRIDAY, JUNE 05, 2015",681 LEXINGTON PKWY N,4,11,Resolved,Complaint,Tall Grass,No,"681 LEXINGTON PKWY N
St Paul, MN
(44.961837, -93.146684)"
4168137,"FRIDAY, JUNE 05, 2015",1239 THOMAS AVE ,4,11,Resolved,Complaint,Tall Grass,No,"1239 THOMAS AVE
St Paul, MN
(44.959323, -93.152528)"
4168139,"FRIDAY, JUNE 05, 2015",1442 SHERBURNE AVE ,4,11,Resolved,Complaint,Tall Grass,No,"1442 SHERBURNE AVE
St Paul, MN
(44.956608, -93.161084)"
4168142,"FRIDAY, JUNE 05, 2015",327 HAZELWOOD ST ,7,1,Resolved,Complaint,Tree,No,"327 HAZELWOOD ST
St Paul, MN
(44.951231, -93.034769)"
4168144,"FRIDAY, JUNE 05, 2015",437 GOODHUE ST ,2,9,Resolved,Complaint,Tall Grass,No,"437 GOODHUE ST
St Paul, MN
(44.936337, -93.11823)"
4168146,"FRIDAY, JUNE 05, 2015",1798 BUSH AVE ,7,2,Resolved,Complaint,Tree,No,"1798 BUSH AVE
St Paul, MN
(44.96491, -93.025417)"
4168147,"FRIDAY, JUNE 05, 2015",52 WINONA ST E,2,3,Resolved,Complaint,Tall Grass,No,"52 WINONA ST E
St Paul, MN
(44.921372, -93.082925)"
4168148,"FRIDAY, JUNE 05, 2015",110 CONGRESS ST W,2,3,Resolved,Complaint,Tall Grass,No,"110 CONGRESS ST W
St Paul, MN
(44.932238, -93.090256)"
4168150,"FRIDAY, JUNE 05, 2015",573 ST CLAIR AVE ,2,9,Open,Complaint,Tall Grass,No,"573 ST CLAIR AVE
St Paul, MN
(44.934103, -93.123787)"
4168152,"FRIDAY, JUNE 05, 2015",319 HAZELWOOD ST ,7,1,Resolved,Complaint,Tall Grass,No,"319 HAZELWOOD ST
St Paul, MN
(44.951016, -93.034763)"
4168160,"FRIDAY, JUNE 05, 2015",461 MARYLAND AVE W,5,6,In Compliance,Complaint,Garbage Rubbish,No,"461 MARYLAND AVE W
St Paul, MN
(44.977376, -93.119753)"
4168164,"FRIDAY, JUNE 05, 2015",776 DAYTON AVE ,1,8,Resolved,Complaint,Traffic Sign/Light New,No,"776 DAYTON AVE
St Paul, MN
(44.947423, -93.132911)"
4168173,"FRIDAY, JUNE 05, 2015",Blvd Tree between 1408 & 1410 Eleanor.,,,Resolved,Complaint,Tree,No,"Blvd Tree between 1408 &amp; 1410 Eleanor.
St Paul, MN
"
4168181,"FRIDAY, JUNE 05, 2015",West Side by Riverview Cemetery ,,,Resolved,Complaint,Dumping,No,"West Side by Riverview Cemetery
St Paul, MN
"
4168186,"FRIDAY, JUNE 05, 2015",1521 6TH ST E,7,1,Resolved,Complaint,Tall Grass,No,"1521 6TH ST E
St Paul, MN
(44.960407, -93.036281)"
4168190,"FRIDAY, JUNE 05, 2015",1557 6TH ST E,7,1,Resolved,Complaint,Tall Grass,No,"1557 6TH ST E
St Paul, MN
(44.960407, -93.034671)"
4168191,"FRIDAY, JUNE 05, 2015",1100 HAWTHORNE AVE E,6,5,Resolved,Complaint,Tall Grass,No,"1100 HAWTHORNE AVE E
St Paul, MN
(44.978425, -93.054094)"
4168192,"FRIDAY, JUNE 05, 2015",705 GERANIUM AVE E,6,5,Resolved,Complaint,Tall Grass,No,"705 GERANIUM AVE E
St Paul, MN
(44.975652, -93.070638)"
4168195,"FRIDAY, JUNE 05, 2015",1210 ROSS AVE ,6,4,Resolved,Complaint,Tall Grass,No,"1210 ROSS AVE
St Paul, MN
(44.965816, -93.049426)"
4168196,"FRIDAY, JUNE 05, 2015",527 KENT ST ,1,7,Resolved,Complaint,Garbage Rubbish,No,"527 KENT ST
St Paul, MN
(44.957195, -93.123804)"
4168197,"FRIDAY, JUNE 05, 2015",824 ATLANTIC ST ,6,4,Resolved,Complaint,Tall Grass,No,"824 ATLANTIC ST
St Paul, MN
(44.966197, -93.048236)"
4168199,"FRIDAY, JUNE 05, 2015",SW corner of Victoria & Minnehaha ,,,Resolved,Complaint,Street Maintenance,No,"SW corner of Victoria &amp; Minnehaha
St Paul, MN
"
4168201,"FRIDAY, JUNE 05, 2015",1968 MINNEHAHA AVE E,7,1,Resolved,Complaint,Tall Grass,No,"1968 MINNEHAHA AVE E
St Paul, MN
(44.963064, -93.017297)"
4168205,"FRIDAY, JUNE 05, 2015",2024 3RD ST E,7,1,Resolved,Complaint,Tall Grass,No,"2024 3RD ST E
St Paul, MN
(44.956763, -93.014873)"
4168206,"FRIDAY, JUNE 05, 2015",1155 COOK AVE E,6,5,Resolved,Complaint,Tall Grass,No,"1155 COOK AVE E
St Paul, MN
(44.973014, -93.051937)"
4168207,"FRIDAY, JUNE 05, 2015",1116 JENKS AVE ,6,5,Resolved,Complaint,Tall Grass,No,"1116 JENKS AVE
St Paul, MN
(44.971246, -93.053477)"
4168208,"FRIDAY, JUNE 05, 2015",1106 JENKS AVE ,6,5,Resolved,Complaint,Tall Grass,No,"1106 JENKS AVE
St Paul, MN
(44.971242, -93.053955)"
4168216,"FRIDAY, JUNE 05, 2015",167 GRANITE ST ,5,6,In Compliance,Complaint,Exterior,No,"167 GRANITE ST
St Paul, MN
(44.966063, -93.093319)"
4168217,"FRIDAY, JUNE 05, 2015",1731 4TH ST E,7,1,Resolved,Complaint,Tall Grass,No,"1731 4TH ST E
St Paul, MN
(44.958585, -93.02725)"
4168218,"FRIDAY, JUNE 05, 2015",697 VIRGINIA ST ,1,7,Resolved,Complaint,Tall Grass,No,"697 VIRGINIA ST
St Paul, MN
(44.962515, -93.114728)"
4168219,"FRIDAY, JUNE 05, 2015",865 UNIVERSITY AVE W,1,7,In Compliance,Complaint,Garbage Rubbish,No,"865 UNIVERSITY AVE W
St Paul, MN
(44.955787, -93.136859)"
4168220,"FRIDAY, JUNE 05, 2015",1745 4TH ST E,7,1,Resolved,Complaint,Tall Grass,No,"1745 4TH ST E
St Paul, MN
(44.958585, -93.02679)"
4168221,"FRIDAY, JUNE 05, 2015",192 GRANITE ST ,5,6,In Compliance,Complaint,Exterior,No,"192 GRANITE ST
St Paul, MN
(44.966099, -93.092207)"
4168222,"FRIDAY, JUNE 05, 2015",1029 CARROLL AVE ,1,8,In Compliance,Complaint,Exterior,No,"1029 CARROLL AVE
St Paul, MN
(44.95031, -93.143532)"
4168224,"FRIDAY, JUNE 05, 2015",440 MINNEHAHA AVE W,1,7,Resolved,Complaint,Dumping,No,"440 MINNEHAHA AVE W
St Paul, MN
(44.962965, -93.119366)"
4168225,"FRIDAY, JUNE 05, 2015",561 VAN BUREN AVE ,1,7,Resolved,Complaint,Garbage Rubbish,No,"561 VAN BUREN AVE
St Paul, MN
(44.962047, -93.12399)"
4168227,"FRIDAY, JUNE 05, 2015",641 WESTERN AVE N,1,7,Resolved,Complaint,Garbage Rubbish,No,"641 WESTERN AVE N
St Paul, MN
(44.960657, -93.116137)"
4168228,"FRIDAY, JUNE 05, 2015",273 SHERBURNE AVE ,1,7,Resolved,Complaint,Garbage Rubbish,No,"273 SHERBURNE AVE
St Paul, MN
(44.956683, -93.111496)"
4168229,"FRIDAY, JUNE 05, 2015",428 TOWER ST ,7,1,Transfer to VB,Complaint,Tall Grass,No,"428 TOWER ST
St Paul, MN
(44.953902, -93.005901)"
4168230,"FRIDAY, JUNE 05, 2015",72 SYCAMORE ST E,5,6,Resolved,Complaint,Garbage Rubbish,No,"72 SYCAMORE ST E
St Paul, MN
(44.964748, -93.097335)"
4168233,"FRIDAY, JUNE 05, 2015",888 JAMES AVE ,2,9,Resolved,Complaint,Tree,No,"888 JAMES AVE
St Paul, MN
(44.927727, -93.137574)"
4168234,"FRIDAY, JUNE 05, 2015",125 ANNAPOLIS ST W,2,3,In Compliance,Complaint,Certificate of Occupancy,No,"125 ANNAPOLIS ST W
St Paul, MN
(44.919674, -93.090507)"
4168247,"FRIDAY, JUNE 05, 2015",1124 THOMAS AVE ,4,11,Resolved,Complaint,Dumping,No,"1124 THOMAS AVE
St Paul, MN
(44.959374, -93.147764)"
4168257,"FRIDAY, JUNE 05, 2015",1833 STILLWATER AVE ,6,2,Resolved,Complaint,Tall Grass,No,"1833 STILLWATER AVE
St Paul, MN
(44.967723, -93.022916)"
4168260,"FRIDAY, JUNE 05, 2015",858 BLAIR AVE ,1,7,Resolved,Complaint,Dumping,No,"858 BLAIR AVE
St Paul, MN
(44.961163, -93.136304)"
4168261,"FRIDAY, JUNE 05, 2015",747 BLAIR AVE ,1,7,In Compliance,Complaint,Exterior,No,"747 BLAIR AVE
St Paul, MN
(44.961156, -93.131777)"
4168266,"FRIDAY, JUNE 05, 2015",370 ATWATER ST ,1,6,Resolved,Complaint,Dumping,No,"370 ATWATER ST
St Paul, MN
(44.966579, -93.115782)"
4168267,"FRIDAY, JUNE 05, 2015",Smith & Kellogg,,,Resolved,Complaint,Traffic Sign/Light New,No,"Smith &amp; Kellogg
St Paul, MN
"
4168268,"FRIDAY, JUNE 05, 2015",274 ATWATER ST ,1,6,In Compliance,Complaint,Exterior,No,"274 ATWATER ST
St Paul, MN
(44.966584, -93.111773)"
4168279,"FRIDAY, JUNE 05, 2015",Smith Ave by North High Bridge Park-behind houses on Goodrich,,,Resolved,Complaint,Street Maintenance,No,"Smith Ave by North High Bridge Park-behind houses on Goodrich
St Paul, MN
"
4168284,"FRIDAY, JUNE 05, 2015",Lexington along St Anthony,,,Resolved,Complaint,Garbage Rubbish,No,"Lexington along St Anthony
St Paul, MN
"
4168285,"FRIDAY, JUNE 05, 2015",824 CARROLL AVE ,1,8,In Compliance,Complaint,Tall Grass,No,"824 CARROLL AVE
St Paul, MN
(44.950334, -93.135061)"
4168287,"FRIDAY, JUNE 05, 2015",1559 Randolph Avenue,,,Resolved,Complaint,Zoning,No,"1559 Randolph Avenue
St Paul, MN
(44.926983, -93.166094)"
4168298,"FRIDAY, JUNE 05, 2015",296 TOPPING ST ,1,6,Resolved,Complaint,Exterior,No,"296 TOPPING ST
St Paul, MN
(44.967505, -93.112498)"
4168301,"FRIDAY, JUNE 05, 2015",887 RANDOLPH AVE ,2,9,Resolved,Complaint,Garbage Rubbish,No,"887 RANDOLPH AVE
St Paul, MN
(44.926891, -93.137531)"
4168311,"FRIDAY, JUNE 05, 2015",878 MONROE COURT ,2,9,Resolved,Complaint,Garbage Rubbish,No,"878 MONROE COURT
St Paul, MN
(44.929602, -93.137096)"
4168313,"FRIDAY, JUNE 05, 2015",1233 REANEY AVE ,7,4,Resolved,FYI - No Response Required,Parking,No,"1233 REANEY AVE
St Paul, MN
(44.964016, -93.048544)"
4168314,"FRIDAY, JUNE 05, 2015",896 6TH ST E,7,4,Resolved,Complaint,Dumping,No,"896 6TH ST E
St Paul, MN
(44.960336, -93.062793)"
4168321,"FRIDAY, JUNE 05, 2015",1458 HAZEL ST N,6,2,Resolved,Complaint,Shut Off,No,"1458 HAZEL ST N
St Paul, MN
(44.985269, -93.020169)"
4168325,"FRIDAY, JUNE 05, 2015",1241 RICE ST ,5,6,Resolved,Complaint,Zoning,No,"1241 RICE ST
St Paul, MN
(44.978574, -93.105913)"
4168328,"FRIDAY, JUNE 05, 2015",525 7TH ST E,2,4,Under Review,Complaint,Zoning,No,"525 7TH ST E
St Paul, MN
(44.954852, -93.080432)"
4168329,"FRIDAY, JUNE 05, 2015",1020 MILTON ST N,5,10,Resolved,Complaint,Exterior,No,"1020 MILTON ST N
St Paul, MN
(44.971815, -93.137539)"
4168343,"FRIDAY, JUNE 05, 2015",1194 WILSON AVE ,7,4,In Compliance,Complaint,Dumping,No,"1194 WILSON AVE
St Paul, MN
(44.954086, -93.050337)"
4168345,"FRIDAY, JUNE 05, 2015",360 LEXINGTON PKWY S,3,14,In Compliance,Complaint,Certificate of Occupancy,No,"360 LEXINGTON PKWY S
St Paul, MN
(44.931117, -93.146542)"
4168348,"FRIDAY, JUNE 05, 2015",1171 ROSS AVE ,6,4,In Compliance,Complaint,Shut Off,No,"1171 ROSS AVE
St Paul, MN
(44.965799, -93.051119)"
4168354,"FRIDAY, JUNE 05, 2015",1210 ALBEMARLE ST ,5,6,Resolved,Complaint,Dumping,No,"1210 ALBEMARLE ST
St Paul, MN
(44.977638, -93.107195)"
4168362,"FRIDAY, JUNE 05, 2015",Marshall & Snelling,,,Under Review,Complaint,Graffiti,No,"Marshall &amp; Snelling
St Paul, MN
"
4167868,"FRIDAY, JUNE 05, 2015",NE corner Idaho & Flandrau,,,Resolved,Complaint,Sewer,No,"NE corner Idaho &amp; Flandrau
St Paul, MN
"
4167891,"FRIDAY, JUNE 05, 2015",St Paul,,,Resolved,FYI - No Response Required,Crime,No,"St Paul
St Paul, MN
"
4167930,"FRIDAY, JUNE 05, 2015",784 AGATE ST ,5,6,Resolved,Complaint,Tall Grass,No,"784 AGATE ST
St Paul, MN
(44.965065, -93.094027)"
4167948,"FRIDAY, JUNE 05, 2015",956 IGLEHART AVE ,1,8,Resolved,Complaint,Tall Grass,No,"956 IGLEHART AVE
St Paul, MN
(44.949427, -93.140512)"
4168026,"FRIDAY, JUNE 05, 2015",1740 BEECHWOOD AVE ,3,15,Resolved,Complaint,Exterior,No,"1740 BEECHWOOD AVE
St Paul, MN
(44.915226, -93.173778)"
4168039,"FRIDAY, JUNE 05, 2015",1740 BEECH ST ,7,1,Resolved,Complaint,Tall Grass,No,"1740 BEECH ST
St Paul, MN
(44.962195, -93.027005)"
4168420,"MONDAY, JUNE 08, 2015",685 BURR ST ,5,5,Resolved,Complaint,Interior,No,"685 BURR ST
St Paul, MN
(44.961893, -93.079727)"
4168421,"MONDAY, JUNE 08, 2015",2016 CLEAR AVE ,6,2,Under Review,Complaint,Vacant Building Monitoring,No,"2016 CLEAR AVE
St Paul, MN
(44.982024, -93.015317)"
4168423,"MONDAY, JUNE 08, 2015",442 WHITE BEAR AVE N,7,1,Resolved,Complaint,Vehicle/Abandoned,No,"442 WHITE BEAR AVE N
St Paul, MN
(44.954753, -93.025253)"
4168432,"MONDAY, JUNE 08, 2015",1428 SHERBURNE AVE ,4,11,Under Review,Complaint,Vacant Building Monitoring,No,"1428 SHERBURNE AVE
St Paul, MN
(44.956609, -93.160608)"
4168440,"MONDAY, JUNE 08, 2015",1428 SHERBURNE AVE ,4,11,Transfer to VB,Complaint,Tall Grass,No,"1428 SHERBURNE AVE
St Paul, MN
(44.956609, -93.160608)"
4168446,"MONDAY, JUNE 08, 2015",224 SMITH AVE N,2,9,Transferred - Closed,Complaint,Certificate of Occupancy,No,"224 SMITH AVE N
St Paul, MN
(44.944202, -93.10532)"
4168449,"MONDAY, JUNE 08, 2015",138 ROBIE ST W,2,3,In Compliance,Complaint,Garbage Rubbish,Yes,"138 ROBIE ST W
St Paul, MN
(44.930557, -93.091508)"
4168451,"MONDAY, JUNE 08, 2015",776 JESSAMINE AVE E,6,5,Resolved,Complaint,Garbage Rubbish,No,"776 JESSAMINE AVE E
St Paul, MN
(44.974788, -93.067791)"
4168455,"MONDAY, JUNE 08, 2015",594 LAWSON AVE W,5,6,Under Review,Complaint,Certificate of Occupancy,No,"594 LAWSON AVE W
St Paul, MN
(44.971994, -93.125277)"
4168457,"MONDAY, JUNE 08, 2015",678 OHIO ST ,2,3,Resolved,Complaint,Garbage Rubbish,Yes,"678 OHIO ST
St Paul, MN
(44.925469, -93.097687)"
4168458,"MONDAY, JUNE 08, 2015",1660 CUMBERLAND ST ,5,6,In Compliance,Complaint,Garbage Rubbish,No,"1660 CUMBERLAND ST
St Paul, MN
(44.990971, -93.117255)"
4168462,"MONDAY, JUNE 08, 2015",674 OHIO ST ,2,3,In Compliance,Complaint,Garbage Rubbish,No,"674 OHIO ST
St Paul, MN
(44.925774, -93.097691)"
4168464,"MONDAY, JUNE 08, 2015",7th and Wall street across from the Super America,,,Resolved,Complaint,Park/Playground,No,"7th and Wall street across from the Super America
St Paul, MN
"
4168467,"MONDAY, JUNE 08, 2015",27 MAGNOLIA AVE E,5,6,Transfer to VB,Complaint,Tall Grass,No,"27 MAGNOLIA AVE E
St Paul, MN
(44.973805, -93.100052)"
4168468,"MONDAY, JUNE 08, 2015",1763 SHERIDAN AVE ,3,15,In Compliance,Complaint,Tall Grass,No,"1763 SHERIDAN AVE
St Paul, MN
(44.901687, -93.175034)"
4168470,"MONDAY, JUNE 08, 2015",1757 SHERIDAN AVE ,3,15,Resolved,Complaint,Tall Grass,No,"1757 SHERIDAN AVE
St Paul, MN
(44.901689, -93.174861)"
4168472,"MONDAY, JUNE 08, 2015",1757 SHERIDAN AVE ,3,15,Resolved,Complaint,Garbage Rubbish,No,"1757 SHERIDAN AVE
St Paul, MN
(44.901689, -93.174861)"
